country,code,currencies,languages
印度,IN,"INR,USD","hi,en,kn,ml,pa,ta,te,mr"
印度尼西亚,ID,"IDR,USD","in,en,zh"
马来西亚,MY,"MYR,USD","mys,en,zh"
菲律宾,PH,"PHP,USD","fil,en"
巴林,BH,"BHD,USD","ar,en"
阿联酋,AE,"AED,USD","ar,en"
埃及,EG,"EGP,USD","ar,en"
约旦,JO,"JOD,USD","ar,en"
科威特,KW,"KWD,USD","ar,en"
黎巴嫩,LB,"LBP,USD","ar,en"
阿曼,OM,"OMR,USD","ar,en"
卡塔尔,QA,"QAR,USD","ar,en"
沙特阿拉伯,SA,"SAR,USD","ar,en"
摩洛哥,MA,"MAD,USD","ar,en"
泰国,TH,"THB,USD","th,en"
巴西,BR,"BRL,USD","pt,en"
智利,CL,"CLP,USD","es,en"
哥伦比亚,CO,"COP,USD","es,en"
墨西哥,MX,"MXN,USD","es,en"
秘鲁,PE,"PEN,USD","es,en"
巴拉圭,PY,"PYG,USD","es,en"
乌拉圭,UY,"UYU,USD","es,en"
土耳其,TR,"TRY,USD","tr,ar,en"
中国,CN,"CNY,USD","zh,en,zh-TW"
中国台湾,TW,"TWD,USD",zh-TW
中国香港,HK,"HKD,USD","zh-TW,en"
中国澳门,MO,USD,"zh-TW,en"
韩国,KR,"KRW,USD","ko,en"
越南,VN,"VND,USD","vi,en"
新加坡,SG,"SGD,USD","en,ms,ta,zh,zh-TW"
南非,ZA,"ZAR,USD",en
阿根廷,AR,USD,"es,en"
厄瓜多尔,EC,USD,"es,en"
玻利维亚,BO,"BOB,USD","es,en"
巴基斯坦,PK,"PKR,USD","en,ur,pa"
俄罗斯,RU,"RUB,USD","en,ru"
加纳,GH,GHS,en
尼日利亚,NG,"NGN,USD",en
比利时,BE,"EUR,USD","en,nl"
德国,DE,"EUR,USD","en,de"
美国,US,USD,en
澳大利亚,AU,"AUD,USD",en
日本,JP,"JPY,USD","ja,en"
加拿大,CA,"CAD,USD",en
法国,FR,"EUR,USD","fr,en"
英国,GB,"GBP,USD",en
孟加拉,BD,USD,en
荷兰,NL,USD,"nl,en"
挪威,NO,USD,en
新西兰,NZ,USD,en
意大利,IT,USD,en
